took 312.488506079ec


mean: -0.00701, std: 0.00006, params: {'max_depth': 28, 'min_samples_leaf': 9}
mean: -0.00762, std: 0.00011, params: {'max_depth': 28, 'min_samples_leaf': 10}
mean: -0.00941, std: 0.00166, params: {'max_depth': 28, 'min_samples_leaf': 11}
mean: -0.01117, std: 0.00181, params: {'max_depth': 28, 'min_samples_leaf': 12}
mean: -0.01162, std: 0.00141, params: {'max_depth': 28, 'min_samples_leaf': 13}
mean: -0.01208, std: 0.00174, params: {'max_depth': 28, 'min_samples_leaf': 14}
mean: -0.00825, std: 0.00029, params: {'max_depth': 29, 'min_samples_leaf': 1}
mean: -0.00138, std: 0.00001, params: {'max_depth': 29, 'min_samples_leaf': 2}
mean: -0.00252, std: 0.00003, params: {'max_depth': 29, 'min_samples_leaf': 3}
mean: -0.00353, std: 0.00004, params: {'max_depth': 29, 'min_samples_leaf': 4}
mean: -0.00437, std: 0.00004, params: {'max_depth': 29, 'min_samples_leaf': 5}
mean: -0.00654, std: 0.00197, params: {'max_depth': 29, 'min_samples_leaf': 6}
mean: -0.00726, std: 0.00203, params: {'max_depth': 29, 'min_samples_leaf': 7}
mean: -0.01043, std: 0.00013, params: {'max_depth': 29, 'min_samples_leaf': 8}
mean: -0.00830, std: 0.00179, params: {'max_depth': 29, 'min_samples_leaf': 9}
mean: -0.01011, std: 0.00180, params: {'max_depth': 29, 'min_samples_leaf': 10}
mean: -0.00962, std: 0.00183, params: {'max_depth': 29, 'min_samples_leaf': 11}
mean: -0.00894, std: 0.00017, params: {'max_depth': 29, 'min_samples_leaf': 12}
mean: -0.01276, std: 0.00020, params: {'max_depth': 29, 'min_samples_leaf': 13}
mean: -0.01093, std: 0.00158, params: {'max_depth': 29, 'min_samples_leaf': 14}
mean: -0.00268, std: 0.00379, params: {'max_depth': 30, 'min_samples_leaf': 1}
mean: -0.00350, std: 0.00299, params: {'max_depth': 30, 'min_samples_leaf': 2}
mean: -0.00252, std: 0.00003, params: {'max_depth': 30, 'min_samples_leaf': 3}
mean: -0.00681, std: 0.00231, params: {'max_depth': 30, 'min_samples_leaf': 4}
mean: -0.00586, std: 0.00214, params: {'max_depth': 30, 'min_samples_leaf': 5}
mean: -0.00511, std: 0.00004, params: {'max_depth': 30, 'min_samples_leaf': 6}
mean: -0.00859, std: 0.00200, params: {'max_depth': 30, 'min_samples_leaf': 7}
mean: -0.01043, std: 0.00013, params: {'max_depth': 30, 'min_samples_leaf': 8}
mean: -0.00703, std: 0.00006, params: {'max_depth': 30, 'min_samples_leaf': 9}
mean: -0.00891, std: 0.00164, params: {'max_depth': 30, 'min_samples_leaf': 10}
mean: -0.00950, std: 0.00159, params: {'max_depth': 30, 'min_samples_leaf': 11}
mean: -0.00877, std: 0.00014, params: {'max_depth': 30, 'min_samples_leaf': 12}
mean: -0.01051, std: 0.00150, params: {'max_depth': 30, 'min_samples_leaf': 13}
mean: -0.00981, std: 0.00018, params: {'max_depth': 30, 'min_samples_leaf': 14}
mean: -0.00537, std: 0.00380, params: {'max_depth': 31, 'min_samples_leaf': 1}
mean: -0.00361, std: 0.00316, params: {'max_depth': 31, 'min_samples_leaf': 2}
mean: -0.00252, std: 0.00003, params: {'max_depth': 31, 'min_samples_leaf': 3}
mean: -0.00351, std: 0.00003, params: {'max_depth': 31, 'min_samples_leaf': 4}
mean: -0.00594, std: 0.00218, params: {'max_depth': 31, 'min_samples_leaf': 5}
mean: -0.00802, std: 0.00198, params: {'max_depth': 31, 'min_samples_leaf': 6}
mean: -0.00721, std: 0.00186, params: {'max_depth': 31, 'min_samples_leaf': 7}
mean: -0.00652, std: 0.00013, params: {'max_depth': 31, 'min_samples_leaf': 8}
mean: -0.00703, std: 0.00006, params: {'max_depth': 31, 'min_samples_leaf': 9}
mean: -0.01011, std: 0.00165, params: {'max_depth': 31, 'min_samples_leaf': 10}
mean: -0.00839, std: 0.00010, params: {'max_depth': 31, 'min_samples_leaf': 11}
mean: -0.01006, std: 0.00157, params: {'max_depth': 31, 'min_samples_leaf': 12}
mean: -0.01171, std: 0.00160, params: {'max_depth': 31, 'min_samples_leaf': 13}
mean: -0.00979, std: 0.00016, params: {'max_depth': 31, 'min_samples_leaf': 14}
mean: -0.00000, std: 0.00000, params: {'max_depth': 32, 'min_samples_leaf': 1}
mean: -0.00784, std: 0.00018, params: {'max_depth': 32, 'min_samples_leaf': 2}
mean: -0.00435, std: 0.00257, params: {'max_depth': 32, 'min_samples_leaf': 3}
mean: -0.00354, std: 0.00004, params: {'max_depth': 32, 'min_samples_leaf': 4}
mean: -0.00435, std: 0.00001, params: {'max_depth': 32, 'min_samples_leaf': 5}
mean: -0.00797, std: 0.00205, params: {'max_depth': 32, 'min_samples_leaf': 6}
mean: -0.00726, std: 0.00203, params: {'max_depth': 32, 'min_samples_leaf': 7}
mean: -0.00785, std: 0.00175, params: {'max_depth': 32, 'min_samples_leaf': 8}
mean: -0.00838, std: 0.00174, params: {'max_depth': 32, 'min_samples_leaf': 9}
